SPA,Service Code,Charge,Stop Date,New Charge
815560000280,DF003,12.00,013120,12.50
815560000290,DF003,12.00,013120,12.50
815560000300,DF003,12.00,013120,12.50
815560000310,DF003,12.00,013120,12.50
815560000320,DF003,12.00,013120,12.50
815560000330,DF003,12.00,013120,12.50
815560000340,DF003,12.00,013120,12.50
815560000350,DF003,12.00,013120,12.50
815560000360,DF003,12.00,013120,12.50
815560000370,DF003,12.00,013120,12.50
815560000380,DF003,12.00,013120,12.50
815560000390,DF003,12.00,013120,12.50
815560000400,DF003,12.00,013120,12.50
815560000410,DF003,12.00,013120,12.50
815560000420,DF003,12.00,013120,12.50
815560000430,DF003,12.00,013120,12.50
815560000440,DF003,12.00,013120,12.50
815560000450,DF003,12.00,013120,12.50
815560000460,DF003,12.00,013120,12.50
815560000470,DF003,12.00,013120,12.50
815560000480,DF003,12.00,013120,12.50
815560000490,DF003,12.00,013120,12.50
815560000500,DF003,12.00,013120,12.50
815560000510,DF003,12.00,013120,12.50
815560000520,DF003,12.00,013120,12.50
815560000530,DF003,12.00,013120,12.50
815560000540,DF003,12.00,013120,12.50
815560000550,DF003,12.00,013120,12.50
815560000560,DF003,12.00,013120,12.50
815560000570,DF003,12.00,013120,12.50
815560000580,DF003,12.00,013120,12.50
815560000590,DF003,12.00,013120,12.50
815560000600,DF003,12.00,013120,12.50
815560000610,DF003,12.00,013120,12.50
815560000620,DF003,12.00,013120,12.50
815560000630,DF003,12.00,013120,12.50
815560000640,DF003,12.00,013120,12.50
815560000650,DF003,12.00,013120,12.50
815560000660,DF003,12.00,013120,12.50
815560000670,DF003,12.00,013120,12.50
815560000680,DF003,12.00,013120,12.50
815560000690,DF003,12.00,013120,12.50
815560000700,DF003,12.00,013120,12.50
815560000710,DF003,12.00,013120,12.50
815560000720,DF003,12.00,013120,12.50
815560000730,DF003,12.00,013120,12.50
815560000740,DF003,12.00,013120,12.50
815560000750,DF003,12.00,013120,12.50
815560000760,DF003,12.00,013120,12.50
815560000770,DF003,12.00,013120,12.50
815560000780,DF003,12.00,013120,12.50
815570000010,DF003,12.00,013120,12.50
815570000020,DF003,12.00,013120,12.50
815570000030,DF003,12.00,013120,12.50
815570000040,DF003,12.00,013120,12.50
815570000050,DF003,12.00,013120,12.50
815570000060,DF003,12.00,013120,12.50
815570000070,DF003,12.00,013120,12.50
81551000TOT ,DF003,12.00,013120,12.50
81552000TOT ,DF003,12.00,013120,12.50
81553000TOT ,DF003,12.00,013120,12.50
81554000TOT ,DF003,12.00,013120,12.50
81555000TOT ,DF003,12.00,013120,12.50
81556000TOT ,DF003,12.00,013120,12.50
81557000TOT ,DF003,12.00,013120,12.50
8155SYS TOT ,DF003,12.00,013120,12.50
815510000020,DF004,12.00,013120,12.50
815510000030,DF004,12.00,013120,12.50
815510000040,DF004,12.00,013120,12.50
815510000050,DF004,12.00,013120,12.50
815510000060,DF004,12.00,013120,12.50
815510000070,DF004,12.00,013120,12.50
815510000090,DF004,12.00,013120,12.50
815510000100,DF004,12.00,013120,12.50
815510000110,DF004,12.00,013120,12.50
815510000120,DF004,12.00,013120,12.50
815510000130,DF004,12.00,013120,12.50
815510000140,DF004,12.00,013120,12.50
815510000150,DF004,12.00,013120,12.50
815510000170,DF004,12.00,013120,12.50
815510000180,DF004,12.00,013120,12.50
815510000190,DF004,12.00,013120,12.50
815510000200,DF004,12.00,013120,12.50
815510000210,DF004,12.00,013120,12.50
815510000230,DF004,12.00,013120,12.50
815510000240,DF004,12.00,013120,12.50
815510000250,DF004,12.00,013120,12.50
815510000260,DF004,12.00,013120,12.50
815510000270,DF004,12.00,013120,12.50
815510000280,DF004,12.00,013120,12.50
815510000290,DF004,12.00,013120,12.50
815510000300,DF004,12.00,013120,12.50
815510000310,DF004,12.00,013120,12.50
815510000320,DF004,12.00,013120,12.50
815510000330,DF004,12.00,013120,12.50
815510000340,DF004,12.00,013120,12.50
815510000350,DF004,12.00,013120,12.50
815510000360,DF004,12.00,013120,12.50
815510000370,DF004,12.00,013120,12.50
815510000510,DF004,12.00,013120,12.50
815510000520,DF004,12.00,013120,12.50
815510000980,DF004,12.00,013120,12.50
815510000990,DF004,12.00,013120,12.50
815520000020,DF004,12.00,013120,12.50
815520000050,DF004,12.00,013120,12.50
815520000060,DF004,12.00,013120,12.50
815520000070,DF004,12.00,013120,12.50
815520000080,DF004,12.00,013120,12.50
815520000090,DF004,12.00,013120,12.50
815520000110,DF004,12.00,013120,12.50
815520000120,DF004,12.00,013120,12.50
815520000130,DF004,12.00,013120,12.50
815520000140,DF004,12.00,013120,12.50
815520000150,DF004,12.00,013120,12.50
815520000160,DF004,12.00,013120,12.50
815520000170,DF004,12.00,013120,12.50
815520000180,DF004,12.00,013120,12.50
815520000190,DF004,12.00,013120,12.50
815520000210,DF004,12.00,013120,12.50
815520000220,DF004,12.00,013120,12.50
815520000230,DF004,12.00,013120,12.50
815520000240,DF004,12.00,013120,12.50
